Location,Place_Type,Date,Day,Hour,Weekend,Holiday,Special_Event_or_Festival,Weather,Traffic,Parking_Percentage,Mobile_Density,Crowd_Level,Estimated_Waiting_Time,Online_Booking_Available,Booked_Visitors,Entry_Token_Available,Tokens_Issued,Public_Transport_Load,School_or_Office_Holiday,Place_Capacity_Indicator,Next_2_Hour_Crowd_Forecast,Next_2_Hour_Waiting_Time
Tirumala Venkateswara Temple,Temple,2025-01-01,Wednesday,8,No,No,No,Cloudy,Medium,21,Low,Medium,45 minutes,Yes,363,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-01,Wednesday,11,No,No,No,Sunny,Low,14,Medium,Medium,45 minutes,Yes,342,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-01,Wednesday,15,No,No,No,Sunny,Low,34,Low,Low,15 minutes,Yes,182,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-01,Wednesday,19,No,No,No,Cloudy,Low,22,Low,Low,15 minutes,Yes,146,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-02,Thursday,8,No,No,Yes,Sunny,High,74,High,High,2 hours,Yes,1022,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-02,Thursday,11,No,No,No,Sunny,Low,44,Low,Medium,45 minutes,Yes,432,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-02,Thursday,15,No,No,No,Sunny,Low,17,Low,Low,15 minutes,Yes,131,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-02,Thursday,19,No,No,No,Sunny,Medium,27,Medium,Low,15 minutes,Yes,161,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-03,Friday,8,No,No,No,Cloudy,Medium,43,Medium,Medium,45 minutes,Yes,429,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-03,Friday,11,No,No,No,Cloudy,Medium,14,Medium,Medium,45 minutes,Yes,342,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-03,Friday,15,No,No,No,Cloudy,Medium,25,Medium,Low,15 minutes,Yes,155,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-03,Friday,19,No,No,No,Sunny,Medium,20,Medium,Low,15 minutes,Yes,140,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-04,Saturday,8,Yes,No,No,Sunny,Medium,54,High,High,2 hours,Yes,962,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-01-04,Saturday,11,Yes,No,No,Cloudy,Medium,45,High,High,2 hours,Yes,935,Yes,1500,Not Available,No,60% to 85%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-04,Saturday,15,Yes,No,No,Rainy,Low,42,Medium,Low,15 minutes,Yes,206,Yes,100,Not Available,No,Below 30%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-04,Saturday,19,Yes,No,No,Sunny,High,46,High,Medium,45 minutes,Yes,438,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-05,Sunday,8,Yes,No,No,Sunny,Medium,58,Medium,High,2 hours,Yes,974,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-05,Sunday,11,Yes,No,No,Rainy,Medium,61,Medium,Medium,45 minutes,Yes,483,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-05,Sunday,15,Yes,No,No,Sunny,Low,21,Low,Medium,45 minutes,Yes,363,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-05,Sunday,19,Yes,No,No,Sunny,Medium,65,High,Medium,45 minutes,Yes,495,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-06,Monday,8,No,No,No,Rainy,Low,38,Low,Low,15 minutes,Yes,194,Yes,100,Not Available,No,Below 30%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-06,Monday,11,No,No,No,Sunny,Low,36,Medium,Medium,45 minutes,Yes,408,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-06,Monday,15,No,No,No,Cloudy,Low,10,Medium,Low,15 minutes,Yes,110,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-06,Monday,19,No,No,No,Rainy,Medium,33,Medium,Low,15 minutes,Yes,179,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-07,Tuesday,8,No,No,No,Rainy,Low,29,Medium,Low,15 minutes,Yes,167,Yes,100,Not Available,No,Below 30%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-07,Tuesday,11,No,No,No,Cloudy,Medium,31,Medium,Medium,45 minutes,Yes,393,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-07,Tuesday,15,No,No,No,Cloudy,Low,19,Medium,Low,15 minutes,Yes,137,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-07,Tuesday,19,No,No,No,Sunny,Low,41,Low,Low,15 minutes,Yes,203,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-08,Wednesday,8,No,No,No,Cloudy,Low,21,Medium,Medium,45 minutes,Yes,363,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-08,Wednesday,11,No,No,No,Cloudy,Low,10,Low,Medium,45 minutes,Yes,330,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-08,Wednesday,15,No,No,No,Cloudy,Medium,29,Low,Low,15 minutes,Yes,167,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-08,Wednesday,19,No,No,No,Cloudy,Low,13,Medium,Low,15 minutes,Yes,119,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-09,Thursday,8,No,No,No,Sunny,Medium,27,Medium,Medium,45 minutes,Yes,381,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-09,Thursday,11,No,No,No,Sunny,Low,32,Low,Medium,45 minutes,Yes,396,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-09,Thursday,15,No,No,No,Cloudy,Medium,19,Low,Low,15 minutes,Yes,137,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-09,Thursday,19,No,No,No,Cloudy,Medium,32,Medium,Low,15 minutes,Yes,176,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-10,Friday,8,No,No,No,Sunny,Medium,15,Low,Medium,45 minutes,Yes,345,Yes,500,Not Available,No,30% to 60%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-10,Friday,11,No,No,No,Rainy,Medium,41,Medium,Low,15 minutes,Yes,203,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-10,Friday,15,No,No,No,Sunny,Medium,33,Low,Low,15 minutes,Yes,179,Yes,100,Not Available,No,Below 30%,Low,15 minutes
Tirumala Venkateswara Temple,Temple,2025-01-10,Friday,19,No,No,No,Sunny,Medium,29,Low,Low,15 minutes,Yes,167,Yes,100,Not Available,No,Below 30%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-11,Saturday,8,Yes,No,No,Sunny,High,45,High,High,2 hours,Yes,935,Yes,1500,Not Available,No,60% to 85%,High,2 hours
Tirumala Venkateswara Temple,Temple,2025-01-11,Saturday,11,Yes,No,No,Sunny,Medium,45,High,High,2 hours,Yes,935,Yes,1500,Not Available,No,60% to 85%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-11,Saturday,15,Yes,No,No,Sunny,Low,33,Medium,Medium,45 minutes,Yes,399,Yes,500,Not Available,No,30% to 60%,Medium,45 minutes
Tirumala Venkateswara Temple,Temple,2025-01-11,Saturday,19,Yes,No,No,Cloudy,Medium,54,Medium,Medium,45 minutes,Yes,462,Yes,500,Not Available,No,30% to 60%,Not Available (next slot is next day),Not Available (next slot is next day)
Tirumala Venkateswara Temple,Temple,2025-01-12,Sunday,8,Yes,No,No,Cloudy,High,75,Medium,High,2 hours,Yes,1025,Yes,1500,Not Available,No,60% to 85%,High,2 hours
