Location,Place_Type,Date,Day,Hour,Weekend,Holiday,Special_Event_or_Festival,Weather,Temperature,Traffic_Level,Parking_Occupancy,Mobile_Density,Historical_Average_Visitors,Crowd_Level,Waiting_Time
Tirumala Venkateswara Temple,Temple,2025-01-01,Wednesday,8,No,Yes,Yes,Sunny,21.1,High,93.3,High,42121,Very High,269
Tirumala Venkateswara Temple,Temple,2025-01-01,Wednesday,11,No,Yes,Yes,Sunny,22.5,High,79.0,High,34255,Very High,266
Tirumala Venkateswara Temple,Temple,2025-01-01,Wednesday,15,No,Yes,Yes,Sunny,22.5,High,98.9,High,24782,Very High,192
Tirumala Venkateswara Temple,Temple,2025-01-01,Wednesday,19,No,Yes,Yes,Rainy,25.3,High,73.9,High,31519,Very High,274
Tirumala Venkateswara Temple,Temple,2025-01-02,Thursday,8,No,No,No,Rainy,24.8,High,91.6,High,35080,Very High,220
Tirumala Venkateswara Temple,Temple,2025-01-02,Thursday,11,No,No,No,Sunny,21.9,High,78.5,High,25108,Very High,191
Tirumala Venkateswara Temple,Temple,2025-01-02,Thursday,15,No,No,No,Sunny,22.2,Medium,76.2,High,16921,Very High,96
Tirumala Venkateswara Temple,Temple,2025-01-02,Thursday,19,No,No,No,Sunny,22.2,High,78.6,High,26034,Very High,236
Tirumala Venkateswara Temple,Temple,2025-01-03,Friday,8,No,No,No,Cloudy,25.1,High,80.5,High,32591,Very High,226
Tirumala Venkateswara Temple,Temple,2025-01-03,Friday,11,No,No,No,Cloudy,24.8,High,82.4,High,24682,Very High,183
Tirumala Venkateswara Temple,Temple,2025-01-03,Friday,15,No,No,No,Sunny,25.6,High,96.8,High,17190,Very High,146
Tirumala Venkateswara Temple,Temple,2025-01-03,Friday,19,No,No,No,Sunny,24.9,High,72.5,High,27344,Very High,255
Tirumala Venkateswara Temple,Temple,2025-01-04,Saturday,8,Yes,No,No,Sunny,24.9,High,81.6,Medium,35787,Very High,224
Tirumala Venkateswara Temple,Temple,2025-01-04,Saturday,11,Yes,No,No,Cloudy,21.9,High,82.7,High,29327,Very High,236
Tirumala Venkateswara Temple,Temple,2025-01-04,Saturday,15,Yes,No,No,Cloudy,23.3,High,80.1,High,19303,Very High,230
Tirumala Venkateswara Temple,Temple,2025-01-04,Saturday,19,Yes,No,No,Rainy,23.3,High,83.2,High,31454,Very High,226
Tirumala Venkateswara Temple,Temple,2025-01-05,Sunday,8,Yes,No,No,Sunny,24.0,High,88.7,High,37491,Very High,222
